	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ocrl	489.847621450714	-0.0190750967547906	0.0923649134870742	-0.206518861271494	0.836385633120132	0.967579794649036
Ocstamp	8.3676394321979	-0.268034297739	0.41255426616325	-0.649694645583759	0.515889483256996	0.854180077467026
Odc1	28097.0162052581	-0.513462603334075	0.146881317373108	-3.49576523765631	0.000472704390000976	0.0205702163559078
Odf2	2850.72484729899	0.181662609035601	0.102373564377231	1.77450702376839	0.0759793213290791	0.447104749608933
Odf2l	361.790411924687	0.209807240637944	0.132633081815326	1.58186206462482	0.113681062723563	0.525876588960074
Odf3b	13.1689310326243	0.52058693142267	0.400549138379074	1.29968306392908	0.193709617326787	0.633709136000156
Ofd1	573.832861570355	0.209364029313307	0.12698578880952	1.64872015424777	0.0992049792412709	0.495538506595001
Ogdh	3426.40794380568	0.033021490563215	0.0714015238461412	0.462475991890187	0.643740015118068	0.907303870575938
Ogdhl	25.0130029937848	0.734147553597879	0.30055630584591	2.44262901598965	0.0145807169865641	0.205355181044171
Ogfod1	600.531133023621	0.0946816999083171	0.112960522593606	0.838183975555335	0.401927385411495	0.800846508912807
Ogfod2	492.028091829665	-0.0647828172835135	0.0896758597480963	-0.722410885889374	0.470041896058576	0.833558950157255
Ogfod3	67.1856034312238	-0.185813412873019	0.236345832614585	-0.78619288868964	0.431754491623615	0.812854001064095
Ogfr	3016.0683060825	0.0345134007072462	0.101776815962201	0.339108670093041	0.734527867226181	0.935801802520952
Ogfrl1	132.150693526738	0.366559674408464	0.169882233557976	2.15772813160811	0.0309489754158121	0.297639452451894
Ogg1	273.467569497323	-0.1253531126138	0.138293414536481	-0.90642864690229	0.364709015835761	0.777217753571202
Ogn	17.213891055129	0.600451049237732	0.407892187243088	1.47208274151102	0.140998535377951	0.563869547813384
Ogt	5203.46093362404	0.0187311295623822	0.119351072381047	0.156941443329308	0.875290997492372	0.97525277136097
Oip5	449.504498870765	-0.0103904379544948	0.145302846309907	-0.0715088397672113	0.942992789453671	0.992997877186034
Oit3	18.9866372880881	-0.775265917897078	0.373491992709661	-2.07572299548532	0.0379195778784952	0.328338079627761
Ola1	2506.4881107015	0.0115676477385224	0.0636856205546523	0.181636728005117	0.855867823488508	0.971507790195658
Olfm1	13.5884170110734	-0.933351635021996	0.371853536790215	-2.50999800372628	0.0120731844122791	0.181726856724516
Olfm2	6.5785347989606	-0.00926637224447486	0.426031431645906	-0.0217504427048391	0.982647025815224	0.996927562809785
Olfml2a	15.8474040389756	0.173717154876234	0.386006619788142	0.45003672468513	0.6526839603163	0.909341148163025
Olfml3	12.1733319252639	0.0719319631000276	0.396292508710881	0.181512295889767	0.855965482731193	0.971507790195658
