	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1110051M20Rik	374.417869890056	0.00631017544607755	0.113721232747417	0.0554881027370931	0.955749607988687	0.999939633922029
1110054M08Rik	55.7738807636539	-0.257219334509974	0.226897141927699	-1.13363849506724	0.256946218642296	0.999939633922029
1110057K04Rik	792.228196823723	0.0975743946310442	0.0897498535455158	1.08718165853675	0.276956535021215	0.999939633922029
1110058L19Rik	232.46157120626	-0.0816003732933466	0.153036081733564	-0.533210027132117	0.593888201195675	0.999939633922029
1110059E24Rik	1069.03128964347	0.0432936175951809	0.136594539441905	0.316949841275274	0.751281662280776	0.999939633922029
1110059G10Rik	354.530873016457	-0.114041013266397	0.110514120403072	-1.03191350436	0.302112639107967	0.999939633922029
1110065P20Rik	119.978129370251	0.0341714673760232	0.174779911882936	0.195511412083275	0.844992604520323	0.999939633922029
1190002F15Rik	415.106665502485	-0.0157119245315892	0.171501256128954	-0.0916140492858854	0.927004688679672	0.999939633922029
1190002N15Rik	936.816438072608	0.0436047588139424	0.136923420695986	0.318460922114697	0.750135332447505	0.999939633922029
1190005I06Rik	23.0548204088398	0.0390900396509943	0.355081239716446	0.110087594833819	0.912339906246038	0.999939633922029
1190007I07Rik	258.356739604937	0.0574257682767419	0.125219278454176	0.458601654518853	0.646520248287186	0.999939633922029
1200014J11Rik	1921.25085661998	-0.030515653704979	0.07445489255102	-0.409854244085683	0.681912871932258	0.999939633922029
1300002E11Rik	153.385849760306	0.0713915414632066	0.156043653453603	0.457510061339559	0.647304472185442	0.999939633922029
1500004A13Rik	63.9614990976837	0.180703763310181	0.254317626380335	0.710543605970657	0.477367099997843	0.999939633922029
1500009L16Rik	39.7590956127156	0.247080758110968	0.30185123149341	0.818551433063684	0.413042386011986	0.999939633922029
1500011B03Rik	319.311992903123	-0.0385952815764661	0.140192176032121	-0.2753026785719	0.783083706751873	0.999939633922029
1500011K16Rik	258.585618081128	-0.151541541285883	0.130506629991424	-1.16117887111055	0.245569165383447	0.999939633922029
1500012F01Rik	3562.44658307229	-0.0561001923347203	0.143506619456753	-0.390924074074691	0.695853358604243	0.999939633922029
1500015A07Rik	92.1522837291541	-0.334464833003428	0.215367712181116	-1.55299431663255	0.120424492391924	0.999939633922029
1600002H07Rik	235.916357643096	0.135629431007275	0.174045224954857	0.779276943923364	0.435816593252476	0.999939633922029
